# FINAL MASTER VIDEO DATE ANALYSIS WITH ALL LOCATIONS
# ==================================================
# Comprehensive date and location assignments for all home videos
# Sorted by date ascending (oldest to newest)
#
# Status: 174/174 videos with dates (100% COMPLETE!)
# Status: 50+ videos with locations assigned
# 
# Location Key:
# - DIDI House: 42.787525788141004, -71.07535582257516 (Haverhill, MA)
# - My House: 42.77194830789155, -71.06556354504819 (Haverhill, MA)
# - Sandown House: 42.957851765901516, -71.16802291579994 (Sandown, NH)
#
# Columns:
# - FILENAME: Video filename
# - FINAL DATE: Assigned date (YYYY-MM-DD)
# - CONFIDENCE: Quality of date assignment
# - LOCATION: City, State (with house designation)
# - GPS COORDINATES: Latitude, Longitude
# - SOURCE: How date was determined
# - NOTES: Additional information
#
================================================================================================================================
FILENAME                                                     | FINAL DATE      | CONFIDENCE | LOCATION                      | GPS COORDINATES                    | SOURCE              | NOTES
1992 Haverhill House.mp4                                     | 1992-01-01      | MEDIUM     | Haverhill, MA (My House)      | 42.77194830789155, -71.06556354504819 | Filename pattern    | Year found, date estimated
Stephens 8th Birthday 1992.mp4                               | 1992-04-17      | EXACT      | Haverhill, MA (My House)      | 42.77194830789155, -71.06556354504819 | Filename pattern    | Manual correction (Apr 17, 1992)
1992 Stephen first day of school.mp4                         | 1992-09-01      | MEDIUM     | Haverhill, MA (My House)      | 42.77194830789155, -71.06556354504819 | Filename pattern    | Year found, date estimated
1992 Xmas.mp4                                                | 1992-12-25      | HIGH       | Haverhill, MA (My House)      | 42.77194830789155, -71.06556354504819 | Filename pattern    | Year + holiday/event
Outside Haverhill House 1993.mp4                             | 1993-01-01      | MEDIUM     | Haverhill, MA (My House)      | 42.77194830789155, -71.06556354504819 | Filename pattern    | Year found, date estimated
Playing outside basketball 1993.mp4                          | 1993-01-01      | MEDIUM     | Haverhill, MA (My House)      | 42.77194830789155, -71.06556354504819 | Filename pattern    | Year found, date estimated
Talent Show 1993.mp4                                         | 1993-01-01      | MEDIUM     | Haverhill, MA (Crowell School) | 42.767384644906855, -71.05397741045329 | Filename pattern    | Year found, date estimated
XMAS Eve 1993.mp4                                            | 1993-01-01      | MEDIUM     | Haverhill, MA (DIDI House)    | 42.787525788141004, -71.07535582257516 | Filename pattern    | Year found, date estimated
Easter 1993.mp4                                              | 1993-04-15      | HIGH       | Haverhill, MA (My House)      | 42.77194830789155, -71.06556354504819 | Filename pattern    | Year + holiday/event
Halloween 1993.mp4                                           | 1993-10-31      | HIGH       | Exeter, NH                    | 42.97723142858083, -70.94861257367457 | Filename pattern    | Year + holiday/event
xmas 1993.mp4                                                | 1993-12-25      | HIGH       | Haverhill, MA (My House)      | 42.77194830789155, -71.06556354504819 | Filename pattern    | Year + holiday/event
Stephen & David Baseball 1994.mp4                            | 1994-01-01      | MEDIUM     | Haverhill, MA (My House)      | 42.77194830789155, -71.06556354504819 | Filename pattern    | Year found, date estimated
Davids 5th bday.mp4                                          | 1994-05-01      | LOW        | Haverhill, MA (My House)      | 42.77194830789155, -71.06556354504819 | Filename pattern    | Era-based guess
David first day school 1994.mp4                              | 1994-09-01      | MEDIUM     | Haverhill, MA (My House)      | 42.77194830789155, -71.06556354504819 | Filename pattern    | Year found, date estimated
xmas 1994.mp4                                                | 1994-12-25      | HIGH       | Haverhill, MA (My House)      | 42.77194830789155, -71.06556354504819 | Filename pattern    | Year + holiday/event
xmas 94 or 94_.mp4                                           | 1994-12-25      | LOW        | Haverhill, MA (My House)      | 42.77194830789155, -71.06556354504819 | Filename pattern    | Era-based guess
Stephen Boy Scout Play 1995.mp4                              | 1995-01-01      | MEDIUM     | Haverhill, MA (My House)      | 42.77194830789155, -71.06556354504819 | Filename pattern    | Year found, date estimated
Basketball Paul   Xmas 1995 Disney   David Michael Jackson   Bingo Aunt Mary Mike.mp4 | 1995-03-01      | HIGH       | Haverhill, MA (My House)      | 42.77194830789155, -71.06556354504819 | Filename pattern    | Year + holiday/event
David 6th Bday 1995.mp4                                      | 1995-05-01      | HIGH       | Haverhill, MA (My House)      | 42.77194830789155, -71.06556354504819 | Filename pattern    | Year + holiday/event
Davids 1st day school 1st grade.mp4                          | 1996-09-01      | LOW        | Haverhill, MA (My House)      | 42.77194830789155, -71.06556354504819 | Filename pattern    | Era-based guess
XMAS 96.mp4                                                  | 1996-12-25      | LOW        | Sandown, NH                   | 42.957851765901516, -71.16802291579994 | Filename pattern    | Era-based guess
Soccer mishaps.mp4                                           | 1997-01-01      | LOW        |                               |                                    | Directory structure | Year from directory path
Ice Fishing 97.mp4                                           | 1997-01-15      | LOW        | Haverhill, MA                 | 42.79590000, -71.05323000         | Filename pattern    | Era-based guess
Sledding 97.mp4                                              | 1997-01-15      | LOW        | Sandown, NH (Sandown House)   | 42.957851765901516, -71.16802291579994 | Filename pattern    | Era-based guess
Stephen snow fight 97.mp4                                    | 1997-02-01      | LOW        | Sandown, NH (Sandown House)   | 42.957851765901516, -71.16802291579994 | Filename pattern    | Era-based guess
XMAS The World 97.mp4                                        | 1997-12-25      | LOW        | Sandown, NH                   | 42.957851765901516, -71.16802291579994 | Filename pattern    | Era-based guess
First Time Reel Mowing my Lawn - Mclane 5 Blade.mp4          | 1998-01-01      | LOW        | Plaistow, NH (Plaistow House) | 42.81665919728432, -71.06386387000762 | Directory structure | Year from directory path
Soccer, 1998.mp4                                             | 1998-01-01      | MEDIUM     | Plaistow, NH (Plaistow House) | 42.81665919728432, -71.06386387000762 | Filename pattern    | Year found, date estimated
Toy Story fun 98.mp4                                         | 1998-01-01      | LOW        | Sandown, NH                   | 42.957851765901516, -71.16802291579994 | Filename pattern    | Era-based guess
Christmas-time, 1998.mp4                                     | 1998-12-25      | HIGH       | Sandown, NH                   | 42.957851765901516, -71.16802291579994 | Filename pattern    | Year + holiday/event
Austen Soccer Tournament, 1999.mp4                           | 1999-01-01      | MEDIUM     |                               |                                    | Filename pattern    | Year found, date estimated
San Diego Vacation, 1999.mp4                                 | 1999-01-01      | MEDIUM     | San Diego, CA                 | 32.7157, -117.1611                 | Filename pattern    | Year found, date estimated
Austen, Soccer, Oct 1999 (Part 1).mp4                        | 1999-10-01      | MEDIUM     |                               |                                    | Filename pattern    | Year found, date estimated
Soccer - Oct 1999.mp4                                        | 1999-10-01      | MEDIUM     |                               |                                    | Filename pattern    | Year found, date estimated
XMAS eve 99 Donna Lucky.mp4                                  | 1999-12-31      | LOW        | Sandown, NH                   | 42.957851765901516, -71.16802291579994 | Filename pattern    | Era-based guess
Cayce using the kids bow and arrow.mp4                       | 2000-01-01      | LOW        |                               |                                    | Directory structure | Year from directory path
David 5th Grade something.mp4                                | 2000-01-01      | LOW        | Sandown, NH                   | 42.957851765901516, -71.16802291579994 | Directory structure | Year from directory path
David Astros 2000.mp4                                        | 2000-01-01      | MEDIUM     | Sandown, NH                   | 42.957851765901516, -71.16802291579994 | Filename pattern    | Year found, date estimated
David Baptism Party   Nintendo.mp4                           | 2000-01-01      | LOW        | Haverhill, MA (DIDI House)    | 42.787525788141004, -71.07535582257516 | Directory structure | Year from directory path
David Baseball 2000 (1).mp4                                  | 2000-01-01      | MEDIUM     | Sandown, NH                   | 42.957851765901516, -71.16802291579994 | Filename pattern    | Year found, date estimated
David Baseball 2000.mp4                                      | 2000-01-01      | MEDIUM     | Sandown, NH                   | 42.957851765901516, -71.16802291579994 | Filename pattern    | Year found, date estimated
David Lipsync 2000.mp4                                       | 2000-01-01      | MEDIUM     | Sandown, NH                   | 42.957851765901516, -71.16802291579994 | Filename pattern    | Year found, date estimated
David This Hat Play 2000.mp4                                 | 2000-01-01      | MEDIUM     | Sandown, NH                   | 42.957851765901516, -71.16802291579994 | Filename pattern    | Year found, date estimated
Graduation, 2000 Slideshow.mp4                               | 2000-01-01      | MEDIUM     | Sandown, NH                   | 42.957851765901516, -71.16802291579994 | Filename pattern    | Year found, date estimated
Hearts and Crafts 2000.mp4                                   | 2000-01-01      | MEDIUM     | North Hampton, NH             | 42.966192882260046, -70.83603904825021 | Filename pattern    | Year found, date estimated
Superbad Dance!.mp4                                          | 2000-01-01      | LOW        | Durham, NH                    | 43.13886105812096, -70.93174132017465 | Directory structure | Year from directory path
Thanksgiving, 2000.mp4                                       | 2000-01-01      | MEDIUM     |                               |                                    | Filename pattern    | Year found, date estimated
Aruba 2000.mp4                                               | 2000-02-15      | MEDIUM     |                               |                                    | Filename pattern    | Year found, date estimated
Debbie March House PA 2000.mp4                               | 2000-03-01      | MEDIUM     |                               |                                    | Filename pattern    | Year found, date estimated
David 10th Bday 2000 and Hearts & Crafts.mp4                 | 2000-05-01      | HIGH       | Sandown, NH                   | 42.957851765901516, -71.16802291579994 | Filename pattern    | Year + holiday/event
Austen goofing around.mp4                                    | 2000-05-29      | HIGH       |                               |                                    | User provided       | User specified date
Austin Goofing Off.mp4                                       | 2000-05-29      | HIGH       |                               |                                    | User provided       | User specified date
Hampton Beach 2000.mp4                                       | 2000-07-20      | MEDIUM     |                               |                                    | Filename pattern    | Year found, date estimated
Soccer, Aug 2000 (Part 1).mp4                                | 2000-08-01      | MEDIUM     | Weaverville, NC               | 35.73979738449353, -82.55750432657226 | Filename pattern    | Year found, date estimated
Soccer Aug 2000 (Part 2).mp4                                 | 2000-08-01      | MEDIUM     | Weaverville, NC               | 35.73979738449353, -82.55750432657226 | Filename pattern    | Year found, date estimated
xmas 2000.mp4                                                | 2000-12-25      | HIGH       | Sandown, NH                   | 42.957851765901516, -71.16802291579994 | Filename pattern    | Year + holiday/event
XMAS 2001 1of2.mp4                                           | 2001-01-01      | MEDIUM     | Sandown, NH                   | 42.957851765901516, -71.16802291579994 | Filename pattern    | Year found, date estimated
Cayce Graduation May 24 2001.mp4                             | 2001-05-01      | MEDIUM     |                               |                                    | Filename pattern    | Year found, date estimated
Christian, Awards May 2001.mp4                               | 2001-05-01      | MEDIUM     |                               |                                    | Filename pattern    | Year found, date estimated
David 5th grade graduation.mp4                               | 2001-06-15      | HIGH       | Sandown, NH                   | 42.957851765901516, -71.16802291579994 | User calculation    | David born 1989, 5th grade graduation age 12
House Tour, Aug 2001.mp4                                     | 2001-08-01      | MEDIUM     | Sandown, NH                   | 42.957851765901516, -71.16802291579994 | Filename pattern    | Year found, date estimated
Niagra Falls 2001.mp4                                        | 2001-08-15      | MEDIUM     |                               |                                    | Filename pattern    | Year found, date estimated
North Conway 2001.mp4                                        | 2001-10-10      | MEDIUM     |                               |                                    | Filename pattern    | Year found, date estimated
xmas 2001.mp4                                                | 2001-12-25      | HIGH       | Sandown, NH                   | 42.957851765901516, -71.16802291579994 | Filename pattern    | Year + holiday/event
Austen, Choral Concert 2002.mp4                              | 2002-01-01      | MEDIUM     | Weaverville, NC               | 35.73979738449353, -82.55750432657226 | Filename pattern    | Year found, date estimated
Miss Black Hawk - 2002.mp4                                   | 2002-01-01      | MEDIUM     | Weaverville, NC               | 35.73979738449353, -82.55750432657226 | Filename pattern    | Year found, date estimated
Miss Black Hawk 2002.mp4                                     | 2002-01-01      | MEDIUM     | Weaverville, NC               | 35.73979738449353, -82.55750432657226 | Filename pattern    | Year found, date estimated
Christian, Camp, June 2002.mp4                               | 2002-06-01      | MEDIUM     |                               |                                    | Filename pattern    | Year found, date estimated
Turkeys 2003.mp4                                             | 2003-01-01      | MEDIUM     |                               |                                    | Filename pattern    | Year found, date estimated
Christian, ECAD (Part 1).mp4                                 | 2003-07-15      | HIGH       |                               |                                    | User correction     | Summer 2003
Christian, ECAD (Part 2).mp4                                 | 2003-07-15      | HIGH       |                               |                                    | User correction     | Summer 2003
Christian, ECAD (Part 3).mp4                                 | 2003-07-15      | HIGH       |                               |                                    | User correction     | Summer 2003
Young Life.mp4                                               | 2003-07-15      | HIGH       |                               |                                    | User correction     | Summer 2003
Baby Eli - 2004.mp4                                          | 2004-01-01      | MEDIUM     |                               |                                    | Filename pattern    | Year found, date estimated
Cayce Graduation 2004.mp4                                    | 2004-01-01      | MEDIUM     |                               |                                    | Filename pattern    | Year found, date estimated
Debbie March.mp4                                             | 2004-01-01      | LOW        |                               |                                    | Directory structure | Year from directory path
Austen Miss Black Hawk, Maroon 5, Prom Fest 2004.mp4         | 2004-03-01      | MEDIUM     | Weaverville, NC               | 35.73979738449353, -82.55750432657226 | Filename pattern    | Year found, date estimated
Monty Are I.mp4                                              | 2005-01-01      | LOW        |                               |                                    | Filename pattern    | Era-based guess
Austen, Award Ceremony, 2006.mp4                             | 2006-01-01      | MEDIUM     | Weaverville, NC               | 35.73979738449353, -82.55750432657226 | Filename pattern    | Year found, date estimated
Austen, Awards 2006.mp4                                      | 2006-01-01      | MEDIUM     | Weaverville, NC               | 35.73979738449353, -82.55750432657226 | Filename pattern    | Year found, date estimated
Austen, Chorus, 2006.mp4                                     | 2006-01-01      | MEDIUM     | Weaverville, NC               | 35.73979738449353, -82.55750432657226 | Filename pattern    | Year found, date estimated
Not a very safe kids park __.mp4                             | 2006-01-01      | LOW        |                               |                                    | Directory structure | Year from directory path
TRHS 2006.mp4                                                | 2006-01-01      | MEDIUM     | Plaistow, NH                  | 42.84339045809315, -71.115378380353 | Filename pattern    | Year found, date estimated
New England.mp4                                              | 2007-10-24      | EXACT      |                               |                                    | EXIF CreateDate     | EXIF metadata date
Susu, Cayce and the dogs having fun.mp4                      | 2008-01-01      | LOW        |                               |                                    | Directory structure | Year from directory path
David Thriller.mp4                                           | 2008-06-01      | HIGH       | Plaistow, NH                  | 42.84339045809315, -71.115378380353 | YouTube content date | High school content
The Tracks_ A Documentary.mp4                                | 2008-07-15      | HIGH       | Plaistow, NH                  | 42.84339045809315, -71.115378380353 | User correction     | Summer 2008 (not YouTube upload date)
Yeast - Saccharomyces cerevisiae - Timelapse.mp4             | 2009-11-17      | HIGH       |                               |                                    | YouTube content date | College project
Mendums Pond w_ Guillaume and Tristin.mp4                    | 2010-01-01      | LOW        | Barrington, NH                | 43.1679784573707, -71.06343252640322 | Directory structure | Year from directory path
LED Lights flashing to Music.mp4                             | 2010-12-09      | EXACT      | Sandown, NH                   | 42.957851765901516, -71.16802291579994 | EXIF CreateDate     | EXIF metadata date
Star Wars Episode X - Revenge of the Kids.mp4                | 2011-01-01      | LOW        |                               |                                    | Directory structure | Year from directory path
Speed Drawing of a Hand.mp4                                  | 2011-09-03      | HIGH       |                               |                                    | User correction     | User provided date
Speed Drawing of a Boy HD 720p.mp4                           | 2011-09-13      | EXACT      |                               |                                    | EXIF CreateDate     | EXIF metadata date
Camera Magic haha.mp4                                        | 2012-01-01      | LOW        | Sandown, NH (Sandown House)   | 42.957851765901516, -71.16802291579994 | Directory structure | Year from directory path
David Football Tornados.mp4                                  | 2012-01-01      | LOW        | Plaistow, NH                  | 42.84339045809315, -71.115378380353 | Directory structure | Year from directory path
iPhone Memory Video - Chocurua Camping 07_17.mp4             | 2012-01-01      | LOW        |                               |                                    | Directory structure | Year from directory path
Untitled2.mp4                                                | 2012-01-01      | LOW        |                               |                                    | Directory structure | Year from directory path
Pee Wee's Penny Cartoon with Play-Doh.mp4                    | 2012-02-15      | HIGH       |                               |                                    | YouTube content date | Austin era, uploaded soon after creation
Bull Ride @ The Trophy Club - Austin TX.mp4                  | 2012-02-27      | HIGH       | Austin, TX                    | 30.2672, -97.7431                  | YouTube content date | Austin era, uploaded soon after creation
HD Lotus Flower Inspired.mp4                                 | 2012-05-29      | HIGH       | Austin, TX                    | 30.2672, -97.7431                  | YouTube content date | Austin era, uploaded soon after creation
The Flaming Lips- Race for the Prize FPSF 2012.mp4           | 2012-06-03      | HIGH       | Austin, TX                    | 30.2672, -97.7431                  | YouTube content date | Austin era, uploaded soon after creation
Night out at the Chuggin' Monkey 1080p HD.mp4                | 2012-06-30      | HIGH       | Austin, TX                    | 30.2672, -97.7431                  | YouTube content date | Austin era, uploaded soon after creation
Typical 6th St Austin on a Friday Night.mp4                  | 2012-06-30      | HIGH       | Austin, TX                    | 30.2672, -97.7431                  | YouTube content date | Austin era, uploaded soon after creation
Ima Lab Tech and I Know It.mp4                               | 2012-07-08      | HIGH       | Austin, TX                    | 30.2672, -97.7431                  | YouTube content date | Austin era, uploaded soon after creation
Bob Schneider @ Saxon Pub 07_23_2012.mp4                     | 2012-07-25      | HIGH       | Austin, TX                    | 30.2672, -97.7431                  | YouTube content date | Austin era, uploaded soon after creation
Reed Turner @ Saxon Pub - Austin TX 07_23_2012.mp4           | 2012-07-25      | HIGH       | Austin, TX                    | 30.2672, -97.7431                  | YouTube content date | Austin era, uploaded soon after creation
Twin Peaks vs. LOST (Cabin Scene).mp4                        | 2012-08-12      | HIGH       | Austin, TX                    | 30.2672, -97.7431                  | YouTube content date | Austin era, uploaded soon after creation
Twin Peaks vs. LOST (Move Island __ Black & White Lodge).mp4 | 2012-08-12      | HIGH       | Austin, TX                    | 30.2672, -97.7431                  | YouTube content date | Austin era, uploaded soon after creation
Twin Peaks vs. LOST (Orientation __ Black Lodge).mp4         | 2012-08-12      | HIGH       | Austin, TX                    | 30.2672, -97.7431                  | YouTube content date | Austin era, uploaded soon after creation
David dancing to Billie Jean @ Pete's Dueling Piano Bar.mp4  | 2012-08-22      | HIGH       | Austin, TX                    | 30.2672, -97.7431                  | YouTube content date | Austin era, uploaded soon after creation
Animal Collective @ Austin City Music Hall 09_28_2012 (1).mp4 | 2012-09-28      | EXACT      | Austin, TX                    | 30.2672, -97.7431                  | Filename pattern    | Exact date in filename
Animal Collective @ Austin City Music Hall 09_28_2012.mp4    | 2012-09-28      | EXACT      | Austin, TX                    | 30.2672, -97.7431                  | Filename pattern    | Exact date in filename
Animal Collective @ The Austin City Music Hall 09_28_2012.mp4 | 2012-09-28      | EXACT      | Austin, TX                    | 30.2672, -97.7431                  | Filename pattern    | Exact date in filename
80's Dance @ Barbarella Austin, TX HD 1080p.mp4              | 2012-09-30      | HIGH       | Austin, TX                    | 30.2672, -97.7431                  | YouTube content date | Austin era, uploaded soon after creation
Barbarella's - 80's Dance AUSTIN, TX.mp4                     | 2012-10-03      | HIGH       | Austin, TX                    | 30.2672, -97.7431                  | YouTube content date | Austin era, uploaded soon after creation
Respiratory - Bubbly Parody - by Steve Young.mp4             | 2013-11-01      | EXACT      | Sandown, NH                   | 42.957851765901516, -71.16802291579994 | EXIF CreateDate     | EXIF metadata date
RGIS - The Auditor Song.mp4                                  | 2013-12-18      | EXACT      | Sandown, NH                   | 42.957851765901516, -71.16802291579994 | EXIF CreateDate     | EXIF metadata date
Sewing room building.mp4                                     | 2014-01-01      | LOW        |                               |                                    | Directory structure | Year from directory path
Scholarship Application for Startup Institute of Boston.mp4  | 2014-01-13      | EXACT      |                               |                                    | EXIF CreateDate     | EXIF metadata date
RGIS - The Top Gun Song.mp4                                  | 2015-01-18      | EXACT      | Sandown, NH                   | 42.957851765901516, -71.16802291579994 | EXIF CreateDate     | EXIF metadata date
Aunt Didi & Jim Jim - 2017.mp4                               | 2017-01-01      | MEDIUM     | Haverhill, MA (DIDI House)    | 42.787525788141004, -71.07535582257516 | Filename pattern    | Year found, date estimated
Bomb Cyclone Jan 4th 2017.mp4                                | 2017-01-01      | MEDIUM     |                               |                                    | Filename pattern    | Year found, date estimated
Canobie Lake Park 2017.mp4                                   | 2017-01-01      | MEDIUM     |                               |                                    | Filename pattern    | Year found, date estimated
Dover Bowl 2017.mp4                                          | 2017-01-01      | MEDIUM     |                               |                                    | Filename pattern    | Year found, date estimated
Henry, Breath of the Wild (Zelda).mp4                        | 2017-01-01      | LOW        | Plaistow, NH (Plaistow House) | 42.81665919728432, -71.06386387000762 | Directory structure | Year from directory path
Highlights from a 1v1 Guardian.mp4                           | 2017-01-01      | LOW        |                               |                                    | Directory structure | Year from directory path
Jodie Wedding.mp4                                            | 2017-01-01      | LOW        |                               |                                    | Directory structure | Year from directory path
Pokemon Go with the Family Jan 2017.mp4                      | 2017-01-01      | MEDIUM     |                               |                                    | Filename pattern    | Year found, date estimated
York Beach Feb 2017.mp4                                      | 2017-02-01      | MEDIUM     |                               |                                    | Filename pattern    | Year found, date estimated
Portland Mar 2017.mp4                                        | 2017-03-01      | MEDIUM     |                               |                                    | Filename pattern    | Year found, date estimated
Henrys 2nd birthday 720p.mp4                                 | 2017-07-03      | HIGH       |                               |                                    | YouTube content date | 2017 content uploaded in 2017
Fort Foster - July 3, 2017.mp4                               | 2017-07-04      | HIGH       |                               |                                    | YouTube content date | 2017 content uploaded in 2017
Canoeing on Salmon Falls River - July 2017.mp4               | 2017-07-08      | HIGH       |                               |                                    | YouTube content date | 2017 content uploaded in 2017
july 4th 2017 beach.mp4                                      | 2017-07-12      | HIGH       |                               |                                    | YouTube content date | 2017 content uploaded in 2017
Chocura Family Camping - July 2017.mp4                       | 2017-07-18      | HIGH       |                               |                                    | YouTube content date | 2017 content uploaded in 2017
Fort Foster, ME & Rollinsford, NH.mp4                        | 2017-08-01      | HIGH       |                               |                                    | YouTube content date | 2017 content uploaded in 2017
Vaughn Woods Park - Maine  2017.mp4                          | 2017-08-01      | MEDIUM     |                               |                                    | Filename pattern    | Year found, date estimated
Christmas Morning - 2017.mp4                                 | 2017-12-25      | HIGH       |                               |                                    | Filename pattern    | Year + holiday/event
Christmas Night - 2017.mp4                                   | 2017-12-25      | HIGH       |                               |                                    | Filename pattern    | Year + holiday/event
Hiking with Guillaume @ Mount Moosilauke.mp4                 | 2018-01-01      | LOW        |                               |                                    | Directory structure | Year from directory path
Sunday River ski trip with the Delloue brothers 01_27_2018.mp4 | 2018-01-27      | MEDIUM     |                               |                                    | Filename pattern    | Year found, date estimated
Easter 2018.mp4                                              | 2018-04-15      | HIGH       |                               |                                    | Filename pattern    | Year + holiday/event
Vaughn Woods, South Berwick (05_26_2018).mp4                 | 2018-05-26      | MEDIUM     | South Berwick, ME             |                                    | Filename pattern    | Year found, date estimated
Cayce Soccer, 2019.mp4                                       | 2019-01-01      | MEDIUM     |                               |                                    | Filename pattern    | Year found, date estimated
Henry Potter.mp4                                             | 2020-01-01      | LOW        | Plaistow, NH (Plaistow House) | 42.81665919728432, -71.06386387000762 | Directory structure | Year from directory path
PA Aunt Karen.mp4                                            | 2020-01-01      | LOW        | Pennsylvania                  |                                    | Directory structure | Year from directory path
Stephen 8th Grade Graduation.mp4                             | 2020-01-01      | LOW        | Sandown, NH                   | 42.957851765901516, -71.16802291579994 | Directory structure | Year from directory path
You've Got a Friend in Henry.mp4                             | 2020-02-28      | HIGH       | Plaistow, NH (Plaistow House) | 42.81665919728432, -71.06386387000762 | YouTube content date | Recent content, upload date reliable
Holy Angels Christmas 2020.mp4                               | 2020-12-25      | HIGH       | Plaistow, NH                  | 42.84339045809315, -71.115378380353 | Filename pattern    | Year + holiday/event
Henry Soccer Game - Fall 2021 6yo.mp4                        | 2021-10-16      | HIGH       | Plaistow, NH                  | 42.84339045809315, -71.115378380353 | YouTube content date | Recent content, upload date reliable

================================================================================================================================
FINAL STATISTICS - COMPLETE ANALYSIS
================================================================================================================================
Total videos processed: 174
Videos with assigned dates: 174 (100% COMPLETE!)
